"","date","count","death_03da","death_05da","death_07da","death_10da","death_15da","death_21da","year(date)","cmsum","month"
"2239",2021-09-03,7,3,3.4,3.42857142857143,3.2,3.53333333333333,3.33333333333333,2021,654,"September"
"2240",2021-09-04,1,4.33333333333333,3.6,3.14285714285714,3,3.33333333333333,3.38095238095238,2021,655,"September"
"2241",2021-09-06,5,3.33333333333333,3.6,3,3,3.06666666666667,3.33333333333333,2021,660,"September"
"2242",2021-09-07,4,3.33333333333333,2.6,3.28571428571429,2.8,2.86666666666667,3.19047619047619,2021,664,"September"
"2243",2021-09-08,1,2.33333333333333,3,2.71428571428571,3,2.73333333333333,3.19047619047619,2021,665,"September"
"2244",2021-09-09,2,2,2.6,2.71428571428571,2.4,2.73333333333333,2.9047619047619,2021,667,"September"
"2245",2021-09-10,3,2.66666666666667,2,2.42857142857143,2.6,2.73333333333333,2.80952380952381,2021,670,"September"
"2246",2021-09-11,3,2.33333333333333,2.4,2,2.4,2.93333333333333,2.71428571428571,2021,673,"September"
"2247",2021-09-12,1,2.33333333333333,2.2,2.28571428571429,2.3,2.53333333333333,2.61904761904762,2021,674,"September"
"2248",2021-09-13,3,1.66666666666667,2.2,2.42857142857143,2.6,2.6,2.66666666666667,2021,677,"September"
"2249",2021-09-14,1,2.33333333333333,2.2,2.42857142857143,2.5,2.46666666666667,2.66666666666667,2021,678,"September"
"2250",2021-09-15,3,2.33333333333333,2.6,2.57142857142857,2.4,2.26666666666667,2.47619047619048,2021,681,"September"
"2251",2021-09-16,3,3,2.8,2.57142857142857,2.4,2.46666666666667,2.61904761904762,2021,684,"September"
"2252",2021-09-17,3,3.33333333333333,2.8,2.42857142857143,2.4,2.4,2.52380952380952,2021,687,"September"
"2253",2021-09-18,4,2.66666666666667,2.6,2.71428571428571,2.5,2.4,2.47619047619048,2021,691,"September"
"2254",2021-09-19,1,2.33333333333333,2.6,2.42857142857143,2.5,2.46666666666667,2.52380952380952,2021,692,"September"
"2255",2021-09-20,2,2,2.2,2.57142857142857,2.5,2.6,2.52380952380952,2021,694,"September"
"2256",2021-09-21,3,2,2.2,2.28571428571429,2.6,2.6,2.42857142857143,2021,697,"September"
"2257",2021-09-22,1,2.66666666666667,2.2,2.14285714285714,2.6,2.66666666666667,2.42857142857143,2021,698,"September"
"2258",2021-09-23,4,2,2.4,2.57142857142857,2.5,2.6,2.61904761904762,2021,702,"September"
"2259",2021-09-24,1,2.66666666666667,2.6,2.71428571428571,2.6,2.46666666666667,2.71428571428571,2021,703,"September"
"2260",2021-09-25,3,2.66666666666667,3,2.71428571428571,2.6,2.46666666666667,2.85714285714286,2021,706,"September"
"2261",2021-09-27,4,3.33333333333333,2.8,2.85714285714286,2.4,2.53333333333333,2.80952380952381,2021,710,"September"
"2262",2021-09-28,3,3.33333333333333,3,2.57142857142857,2.6,2.8,3,2021,713,"September"
"2263",2021-09-29,3,2.66666666666667,2.8,2.57142857142857,2.7,2.93333333333333,3.04761904761905,2021,716,"September"
"2264",2021-09-30,2,2.33333333333333,2.2,2.57142857142857,3.1,2.86666666666667,3.04761904761905,2021,718,"September"
"2265",2021-10-01,2,1.66666666666667,2.2,2.71428571428571,3.2,3.26666666666667,3.04761904761905,2021,720,"October"
"2266",2021-10-02,1,2,2.6,3,3,3.26666666666667,3.0952380952381,2021,721,"October"
"2267",2021-10-03,3,3,3.2,3.14285714285714,3.4,3.46666666666667,3.19047619047619,2021,724,"October"
"2268",2021-10-04,5,4.33333333333333,3.6,3.14285714285714,3.5,3.33333333333333,3.33333333333333,2021,729,"October"
